ts	imei	mwra	p.android.packageinstaller	p.android.settings	p.android.documentsui	p.android.chrome	p.android.gm	p.system	p.android.externalstorage	p.android.vending	p.process.gapps	p.google	p.browser.provider	p.android.defcontainer	p.dogalize	p.olauncher	p.simulator	p.inputmethod.latin	p.android.gms	p.notifier	p.katana	p.gms.persistent
2018-05-05 10:11:00	3590433799317661404	1.00000	9.85096	14.78797	10.36109	7.75021	13.60810	11.44115	6.65095	0.00040	59.35704	43.47832	45.70610	61.16451	87.93012	99.03019	65.31321	37.53377	66.65253	0.37687	65.52817	70.00938
2018-05-05 10:12:00	863033069630348701	1.00000	9.30983	11.85434	13.53654	6.14394	16.24758	11.09645	12.14304	0.00005	49.66824	50.95290	61.29785	52.79758	78.91306	40.12957	83.63331	73.49557	89.34319	4.12698	45.77156	69.03686
2018-05-05 10:13:00	3590433799317662170	0.00000	12.08757	7.14951	10.39310	9.96215	13.73108	15.57660	14.62091	0.00100	47.11645	57.98701	41.15122	51.36018	68.06989	93.95527	50.82690	59.50390	83.56124	23.16925	5.50892	42.41705
2018-05-05 10:14:00	3590433799317661289	0.00000	10.54094	11.75357	9.05379	7.60943	12.95660	12.36524	13.13321	0.02379	53.46580	46.33530	54.55867	58.94498	92.49656	56.51165	95.64893	30.88852	41.50093	97.67208	74.53952	21.80303
2018-05-05 10:15:00	3590433799317661644	1.00000	10.73068	11.73764	12.67896	9.83146	13.61599	9.40628	10.20135	0.00018	61.06059	48.37147	50.36147	67.30863	64.50657	42.16483	62.73755	5.42956	39.68433	90.62856	42.66725	69.29790
2018-05-05 10:16:00	3590433799317661024	1.00000	14.59551	14.03816	13.24449	11.54039	14.42574	9.17216	7.52851	0.00033	51.24697	42.31271	37.75473	59.04970	54.49299	62.01849	36.97733	20.35999	39.36186	56.45443	81.07026	96.43615
2018-05-05 10:17:00	863033069630348636	0.00000	12.09668	12.00187	12.18309	11.22518	13.03075	10.71162	14.37928	0.13164	48.99520	44.15150	53.91826	37.42237	55.98398	24.18642	78.90692	9.61749	12.02337	51.37968	56.18025	43.64509
2018-05-05 10:18:00	863033069630348537	1.00000	9.44152	11.11786	13.40914	7.11496	13.80101	6.77401	6.56610	0.00015	38.09276	51.21172	50.51410	43.08735	25.26703	28.73748	50.63798	36.55471	21.12584	72.65078	50.10865	76.97850
2018-05-05 10:19:00	359043379931766353	1.00000	9.95430	17.40104	12.20047	6.96300	12.54553	12.03737	7.08904	0.00404	59.18225	47.20372	56.30300	49.41806	46.84810	48.04270	44.80146	57.38266	67.04708	72.27467	53.29525	53.39592
2018-05-05 10:20:00	3590433799317661735	0.00000	12.07511	9.35012	8.30337	13.62438	9.29006	12.92278	6.69662	0.00046	65.63891	42.14361	52.12949	25.23848	34.56913	76.53336	63.11210	70.43575	35.23631	67.30175	19.12042	12.90069
2018-05-05 10:21:00	8630330696303482006	0.00000	11.44349	10.22856	10.80009	13.00082	13.13671	9.96641	9.74551	0.00130	32.15054	59.03169	42.90347	11.65631	44.70420	79.42687	24.12796	85.13902	58.81633	44.99709	90.46465	77.59926
2018-05-05 10:22:00	863033069630348560	1.00000	10.21252	11.82225	8.35918	8.48741	15.32284	10.99689	12.03410	0.14583	53.97232	51.53960	52.04567	61.10587	33.80081	46.91570	17.83600	29.57449	52.54300	40.05183	10.23802	20.95407
2018-05-05 10:23:00	3590433799317661958	1.00000	15.73717	9.56449	10.16168	15.97786	9.61787	13.78457	10.59703	0.00003	67.14408	41.98518	43.88731	65.49147	12.63036	23.81159	12.76530	26.77552	66.98923	90.22637	33.37838	43.52839
2018-05-05 10:24:00	359043379931766254	1.00000	9.70930	13.29968	13.33282	12.47034	10.17825	8.18011	7.69518	0.00022	42.12686	56.03196	63.35071	50.97802	51.38650	35.08249	32.48721	32.17696	48.87184	29.81130	13.15450	69.76892
2018-05-05 10:25:00	8630330696303481545	1.00000	14.25738	11.99431	5.99306	11.24163	11.61240	9.13334	13.41152	0.00021	56.11479	75.60155	61.47500	53.84249	0.19535	57.05950	83.19253	51.55674	49.96696	10.82666	57.93467	96.17502
2018-05-05 10:26:00	863033069630348800	1.00000	6.72640	13.54064	15.77733	13.88699	12.89317	10.67310	12.53973	0.00056	48.90916	28.19301	45.59272	28.09248	30.34775	50.00913	69.31140	34.23874	1.91782	8.18194	65.43722	51.00375
2018-05-05 10:27:00	863033069630348875	1.00000	6.38865	9.60726	12.80637	7.65501	9.26212	5.46067	9.64902	0.00026	59.00544	49.13961	45.50842	69.38937	88.91923	61.56353	52.28260	28.34417	95.58683	78.43348	48.20322	36.98029
2018-05-05 10:28:00	3590433799317662469	1.00000	10.37002	14.57736	10.23328	6.03549	12.81224	10.09779	6.40859	0.00203	70.61331	45.57900	58.04590	34.88533	7.84833	67.93700	52.09326	54.92006	15.39319	83.75456	81.61894	77.23167
2018-05-05 10:29:00	863033069630348099	1.00000	13.27407	7.77785	6.06923	8.05930	12.48267	12.35954	10.65613	0.00693	34.28750	60.76347	47.82057	42.60213	30.67926	31.05267	62.06245	84.25282	9.64684	43.45359	24.40162	44.10976
2018-05-05 10:30:00	359043379931766585	1.00000	10.20384	6.98869	17.22911	11.34513	11.08469	0.61640	7.78417	0.00192	31.91740	37.26467	33.67672	36.88023	80.96976	28.44425	69.86711	77.85025	66.48674	15.98925	27.69204	3.95256
2018-05-05 10:31:00	3590433799317662188	0.00000	9.58261	7.28739	5.39370	9.58849	14.26423	9.26581	13.55159	0.00122	59.47534	41.49669	39.98092	39.70999	14.65944	57.68124	45.29997	41.88786	61.26876	73.19626	88.69442	31.21903
2018-05-05 10:32:00	3590433799317661214	0.00000	10.69062	8.09454	7.51272	8.15600	12.09095	16.08562	14.75429	0.00054	42.94366	65.58002	33.66333	49.52323	75.94128	6.10840	68.73794	11.31880	52.65692	85.07023	71.39292	67.08997
2018-05-05 10:33:00	8630330696303481842	1.00000	9.25601	15.94989	13.91510	8.10045	11.57595	11.10813	9.63991	0.00012	60.83274	31.11803	32.79141	34.03168	65.65831	33.48077	31.78836	43.13524	38.79994	35.73169	62.87996	22.15295
2018-05-05 10:34:00	3590433799317661339	1.00000	11.51336	7.46081	8.28114	10.46192	12.50175	5.41180	7.55737	0.00014	52.87475	28.44884	45.16791	39.71751	48.27739	40.63765	73.22151	74.87334	34.45618	43.80214	44.88528	95.85511
2018-05-05 10:35:00	8630330696303481545	0.00000	12.07452	6.57593	9.32985	12.27331	15.40201	17.22308	16.13609	0.00224	34.82904	50.86667	50.15897	51.52793	9.55754	79.80709	42.41076	28.70999	31.36201	55.17045	73.60554	12.41376
2018-05-05 10:36:00	863033069630348495	0.00000	15.23288	7.46492	7.68133	9.52648	12.22042	13.02602	12.76227	0.00314	35.47467	60.66883	69.15956	63.72631	95.44571	81.97941	26.32472	1.43282	21.91759	83.41357	21.75741	5.69388
2018-05-05 10:37:00	8630330696303482287	1.00000	9.47774	12.62222	8.97295	8.19755	13.46801	7.04243	14.05413	0.00225	61.85305	30.42505	61.03482	78.43223	0.42049	75.63324	28.27007	16.22744	52.08378	35.01363	10.57535	28.05894
2018-05-05 10:38:00	3590433799317662006	0.00000	13.02096	11.61140	10.30449	8.06940	14.97740	12.14850	10.48240	0.00147	57.31612	57.67262	56.09832	75.83645	29.27201	96.10430	32.81195	46.39272	77.27239	17.49863	23.26888	71.72260
2018-05-05 10:39:00	359043379931766171	1.00000	11.53700	16.14108	14.18471	6.56549	10.99599	9.29490	6.54848	0.00029	30.10168	26.58919	62.74274	44.77990	71.65957	80.09560	35.87216	19.67773	24.40355	45.39082	66.60281	33.13286
2018-05-05 10:40:00	863033069630348529	1.00000	10.63853	13.49083	15.32190	9.69277	13.47882	8.55621	9.74945	0.00037	61.75992	32.52461	25.75445	45.21158	94.24605	3.85008	1.35835	17.11615	33.76632	9.27237	15.16481	36.70301
2018-05-05 10:41:00	3590433799317662295	1.00000	10.15064	15.11243	10.73405	9.26515	11.34052	12.48671	11.70023	0.03445	30.96250	37.64792	65.19489	29.49070	91.61629	18.30574	89.48374	48.37528	67.25132	19.69961	6.79943	10.02180
2018-05-05 10:42:00	359043379931766403	1.00000	13.00339	10.83103	5.12435	11.13958	13.19308	10.79105	10.31757	0.00089	45.75266	21.47908	49.20223	66.34846	14.57633	93.35689	29.13352	57.58644	91.14611	8.85705	14.50247	88.45929
2018-05-05 10:43:00	3590433799317661172	0.00000	16.13139	12.89235	7.33982	15.69595	14.45248	14.07908	12.98717	0.00015	62.23924	22.17400	49.52672	55.03495	59.93253	98.19586	28.20281	15.19795	9.77221	36.33510	58.29195	95.76325
2018-05-05 10:44:00	3590433799317661396	1.00000	4.89565	14.25206	14.80641	7.73517	10.26821	10.37950	8.68297	0.00041	61.63613	37.97692	40.74883	38.94410	48.68667	42.77364	28.25992	24.35306	92.19193	17.04178	50.78580	33.36444
2018-05-05 10:45:00	3590433799317661271	1.00000	6.21421	11.30618	12.66596	9.15418	14.36181	8.80237	10.62117	0.00189	40.25982	62.61056	35.76747	9.31235	48.53273	71.69216	60.40115	69.73202	74.67579	66.63749	65.25675	40.29083
2018-05-05 10:46:00	8630330696303482303	1.00000	12.00532	14.11868	10.75570	9.80365	10.26885	10.07826	13.80626	0.01557	50.60450	42.14534	32.39701	47.18136	38.21121	33.47072	24.55550	82.30113	29.87852	37.69635	52.01649	1.72274
2018-05-05 10:47:00	8630330696303481990	1.00000	10.94589	14.53054	9.97688	7.93999	9.67800	3.89678	17.61917	0.00726	63.79623	34.03424	69.05103	65.02912	19.26697	30.85870	84.89638	80.42570	7.28298	57.02090	72.54048	48.59615
2018-05-05 10:48:00	3590433799317661669	1.00000	10.28395	15.14798	17.21552	7.91379	11.70158	8.58250	9.28054	0.00010	42.88616	53.07702	46.36480	60.90013	68.71724	1.62061	55.18739	36.24474	9.73209	36.17380	29.64263	1.98701
2018-05-05 10:49:00	3590433799317661990	1.00000	12.65264	12.82179	11.56736	9.99042	12.20357	11.66645	14.73114	0.00165	78.09787	22.99805	40.97686	25.56343	30.52935	83.59716	53.72507	19.22125	73.72861	60.02877	77.56255	58.09806
2018-05-05 10:50:00	863033069630348057	1.00000	16.26995	12.73672	8.19584	10.06793	9.66890	8.01738	14.98472	0.05352	50.30422	27.13321	55.07201	28.76815	11.93578	31.82109	17.40542	54.09845	58.20337	30.92899	17.60210	95.37370
2018-05-05 10:51:00	8630330696303482030	1.00000	15.13428	12.04255	10.09913	10.40378	11.56428	5.86934	15.44304	0.00032	51.24215	54.94812	60.77066	53.90921	77.62917	87.26205	33.92763	31.54134	43.24909	35.14874	99.23085	11.91883
2018-05-05 10:52:00	3590433799317662469	1.00000	9.62193	16.97526	12.34156	9.30849	8.74587	10.36935	6.65418	0.00159	33.99244	47.79470	53.37401	52.32079	30.59507	24.73935	66.64883	15.69755	69.48858	25.68113	96.49194	74.13351
2018-05-05 10:53:00	3590433799317661388	1.00000	6.56713	8.31854	10.93815	10.29380	13.18547	6.00539	9.15541	0.00098	44.08006	52.57553	67.68225	52.65845	81.31018	75.30812	5.28111	73.06650	47.94066	22.40218	76.28123	65.09762
2018-05-05 10:54:00	8630330696303481834	0.00000	14.05136	12.31320	11.84444	13.22077	13.79631	8.90665	11.17907	0.00052	57.27856	60.88772	34.31373	43.33645	7.13573	59.81506	74.70780	60.72853	29.54493	87.43150	65.60426	54.95953
2018-05-05 10:55:00	8630330696303481404	1.00000	8.70053	13.70775	13.84253	12.45875	14.23134	9.78363	11.28665	0.00480	37.04990	40.84579	41.45295	59.15805	91.65158	90.29105	15.51893	72.72706	32.08453	54.66617	15.19474	18.32382
2018-05-05 10:56:00	3590433799317661107	0.00000	14.65815	9.86920	8.55010	13.82951	12.41973	12.21693	13.85384	0.00046	53.30994	44.04723	58.43658	14.49387	55.31241	5.85291	86.09039	56.53912	65.25252	3.79070	45.98477	80.80184
2018-05-05 10:57:00	863033069630348321	0.00000	11.49818	4.37964	5.72904	9.69891	14.62685	15.38815	17.01470	0.00047	48.41062	23.12193	66.33409	36.36218	17.13514	97.51211	36.91035	86.87908	59.25623	98.16089	38.06094	15.53658
2018-05-05 10:58:00	3590433799317661941	1.00000	10.37890	11.25657	6.53941	10.12447	11.81666	10.93792	12.56659	0.00027	59.41521	29.23142	66.55886	43.03218	58.34689	65.66696	9.23062	24.73049	53.12155	98.90116	14.05706	27.37353
2018-05-05 10:59:00	359043379931766791	1.00000	9.97377	14.39817	11.16271	8.13827	14.64414	10.57754	5.35274	0.05428	36.13833	46.33015	45.23909	30.24609	56.00466	22.39246	22.21128	68.80689	7.14033	8.45792	43.97110	6.71844
2018-05-05 11:00:00	8630330696303481636	0.00000	12.52936	6.33746	8.54747	12.67129	16.36516	14.98028	14.46830	0.00012	44.92052	22.85704	60.63945	46.62968	88.12722	79.35647	84.87032	31.17228	51.13868	5.42735	60.62905	10.80717
2018-05-05 11:01:00	863033069630348578	0.00000	12.99552	7.09832	8.77902	13.69904	16.33446	10.36228	13.31707	0.00019	55.46909	42.53736	26.29156	29.83104	28.17917	36.83499	36.39024	74.03425	97.87886	52.10055	94.52814	90.62962
2018-05-05 11:02:00	8630330696303481800	1.00000	12.38224	12.92504	12.70940	6.35330	14.32670	8.51529	9.27220	0.00040	38.06946	40.79942	35.86851	57.67152	85.20535	73.51671	46.23248	90.07110	64.07842	79.63995	18.49435	71.45723
2018-05-05 11:03:00	8630330696303481552	1.00000	12.04193	16.23493	16.81528	13.38953	14.59403	8.98652	7.01063	0.00014	57.00782	41.39223	81.67661	57.89670	83.04924	36.63963	37.67058	34.51645	48.34916	43.48566	70.05267	11.48538
2018-05-05 11:04:00	3590433799317661164	1.00000	10.81813	12.02385	10.54361	8.73472	12.07141	13.54810	12.79690	0.02054	61.98802	40.39046	68.50594	54.67441	75.82634	53.30136	0.64172	84.89151	69.89857	63.24715	96.49099	22.79936
2018-05-05 11:05:00	8630330696303482154	0.00000	12.80441	14.08262	10.88805	16.48796	12.57129	9.81842	5.75023	0.00009	28.20198	45.92344	54.37245	57.80174	12.19398	95.19064	0.75933	20.84402	41.87311	27.89306	44.58939	88.58449
2018-05-05 11:06:00	8630330696303482352	1.00000	12.26023	13.67664	12.66314	5.17981	11.98251	9.55464	12.68148	0.08074	38.01727	31.57790	37.55726	51.97785	24.40112	44.98039	54.89163	99.51462	94.99864	48.52464	87.53637	70.19560
2018-05-05 11:07:00	3590433799317661362	0.00000	12.23749	14.26019	9.41511	8.02158	10.45652	14.81857	10.66893	0.07820	34.99755	51.81956	39.97750	63.96437	49.62624	24.06336	35.85379	5.60876	0.80064	62.45264	75.61320	60.86611
2018-05-05 11:08:00	863033069630348222	1.00000	9.92272	12.41703	12.18969	6.83032	13.06760	8.95219	8.48634	0.00016	43.36395	46.72236	36.26121	56.96315	50.44010	70.95749	43.53584	97.31868	45.22164	10.81555	93.08590	25.89751
2018-05-05 11:09:00	8630330696303481941	0.00000	12.70563	9.07599	7.69989	13.92397	17.03826	11.16103	13.18800	0.00055	58.98659	35.18212	48.17830	48.55957	9.07707	36.94236	84.92588	37.58053	55.31482	35.26351	24.34431	50.57939
2018-05-05 11:10:00	359043379931766593	0.00000	9.62210	9.50013	7.49935	7.83225	14.90157	13.25320	17.73313	0.00736	55.87587	19.62004	45.87572	39.05553	53.94679	20.92802	25.45783	29.75410	35.08798	29.33228	94.49228	17.57655
2018-05-05 11:11:00	8630330696303481164	1.00000	9.03632	14.55454	14.75180	9.09669	14.00101	10.93494	9.60473	0.00008	56.45329	39.71837	43.05787	66.30598	33.31246	45.30468	42.49296	43.14997	52.48012	30.00471	48.32935	80.99876
2018-05-05 11:12:00	359043379931766171	1.00000	10.90834	16.69096	7.70971	8.95804	9.45807	9.67866	13.67334	0.00009	42.69041	65.35692	29.32295	57.40257	23.36164	44.93040	70.46048	98.30376	77.37658	4.55630	89.59503	81.29010
2018-05-05 11:13:00	863033069630348503	1.00000	9.66041	14.52919	13.88586	11.05729	12.05958	9.08185	7.70084	0.00330	70.19118	54.08751	41.63918	62.87288	27.36771	88.74794	2.61879	31.84617	23.85751	60.27734	56.74949	68.17569
2018-05-05 11:14:00	359043379931766007	0.00000	13.83694	8.78355	8.12612	7.42868	13.28576	14.14959	13.17537	0.00042	55.43782	50.32002	65.67685	41.75453	88.48716	34.44706	66.34754	35.84705	88.68289	35.43316	68.96891	85.00817
2018-05-05 11:15:00	863033069630348578	0.00000	13.99035	8.10526	8.08768	7.77305	11.75000	13.26995	12.07463	0.00622	36.77738	56.11921	51.15500	41.97150	9.05214	90.15241	13.77396	28.49656	73.24545	71.28117	90.20370	96.51815
2018-05-05 11:16:00	3590433799317662386	1.00000	10.48696	14.37156	10.85219	7.90530	10.35792	8.55240	15.39746	0.00162	49.62214	33.89973	68.93957	33.79250	2.37196	21.92473	73.90913	72.06073	52.63799	37.90369	72.57965	57.85668
2018-05-05 11:17:00	863033069630348933	1.00000	9.63690	12.08140	14.21398	11.15043	14.12684	8.21604	11.27149	0.00070	42.79421	18.28162	43.15436	65.45432	87.25194	23.58856	26.22729	88.79790	37.43973	35.04457	82.04285	74.57751
2018-05-05 11:18:00	359043379931766536	1.00000	9.38716	12.96686	6.33291	9.87499	10.44832	11.96652	12.86146	0.01939	64.33685	52.44962	63.13423	53.52099	53.97553	77.93929	3.82549	66.70667	11.21037	26.73136	8.04262	90.92152
2018-05-05 11:19:00	359043379931766205	1.00000	10.01947	14.09157	11.71063	6.71205	8.41325	8.65992	5.02119	0.00053	41.37784	46.89870	49.34440	73.76192	30.64041	32.15388	39.25229	74.61549	99.55143	91.43778	48.55816	37.33298
2018-05-05 11:20:00	863033069630348909	1.00000	15.13155	11.31463	6.67900	9.80665	9.45834	7.94762	16.39807	0.00010	43.08158	58.81522	79.30803	42.84773	36.62827	45.78417	39.50541	39.23405	59.22672	73.69962	50.99631	77.09643
2018-05-05 11:21:00	359043379931766718	1.00000	9.23974	10.06417	9.74906	6.24874	13.50182	8.44276	9.99893	0.00008	40.81640	46.59496	51.07338	36.86695	84.49095	48.65574	5.00078	41.86623	91.30097	5.45944	45.40839	18.64272
2018-05-05 11:22:00	359043379931766569	1.00000	14.76891	11.28162	8.25833	12.08564	12.76984	7.00141	15.57746	0.00021	39.46217	35.31922	53.13088	65.95431	43.63397	18.52302	62.62065	42.93107	88.09490	9.66814	5.04783	62.03230
2018-05-05 11:23:00	3590433799317661396	1.00000	14.59296	8.95385	8.23729	8.65316	15.64212	9.71311	11.67557	0.01141	40.93482	63.46272	58.31187	60.05237	76.30854	49.56545	67.65403	22.25920	73.97135	93.99950	97.41862	53.53940
2018-05-05 11:24:00	359043379931766668	0.00000	10.92585	10.55748	7.42423	10.83253	10.41045	12.37589	11.05998	0.00120	67.01466	43.51256	51.95434	62.12942	71.23559	12.33320	55.78399	32.34354	70.15083	4.99355	0.39719	8.12767
2018-05-05 11:25:00	3590433799317661966	1.00000	14.04968	10.03501	6.46857	12.35093	11.20315	6.07463	17.53713	0.00077	60.38780	48.80944	52.22504	57.04112	85.69331	88.59796	66.54593	55.63415	43.46368	23.51115	25.83147	73.80998
2018-05-05 11:26:00	3590433799317661313	0.00000	10.75503	9.47229	9.98666	9.84312	11.16611	15.30642	14.46248	0.00295	59.82087	6.13124	57.34992	34.28263	56.05789	87.68156	86.25303	75.48544	95.34487	28.54167	66.38616	63.40244
2018-05-05 11:27:00	8630330696303482279	1.00000	9.65470	15.40980	15.07113	9.17638	10.91443	11.00031	9.38978	0.00011	30.63021	33.28135	66.02971	38.02828	11.59082	63.72335	72.60779	49.80321	37.55675	27.53797	48.35266	49.40498
2018-05-05 11:28:00	3590433799317661990	1.00000	8.68150	14.91692	12.63775	6.71879	10.44079	9.95743	8.14157	0.00023	42.48979	42.52338	32.51806	45.22315	37.38719	26.60094	19.42928	61.54030	99.28313	97.61812	2.72610	33.04245
2018-05-05 11:29:00	3590433799317662485	1.00000	11.07673	13.37789	6.78060	11.23389	11.41905	8.93241	12.54737	0.00597	65.75944	38.84141	66.23051	49.66244	95.52014	99.45928	57.50363	51.41174	4.00811	58.35715	15.93682	52.04729
2018-05-05 11:30:00	3590433799317662154	0.00000	12.57514	9.36038	6.42253	7.93493	13.75390	10.93479	11.77312	0.01452	10.75344	42.17754	45.24796	45.54313	25.44346	92.42481	38.76511	44.95819	93.45642	41.94141	74.59558	30.78540
2018-05-05 11:31:00	3590433799317661537	1.00000	14.33990	13.23636	8.51488	3.79833	14.37426	9.45925	6.10093	0.00005	42.65863	36.59893	44.71437	63.94110	6.85264	4.50706	13.53809	87.08317	7.57231	74.26151	13.13784	44.78669
2018-05-05 11:32:00	3590433799317661453	1.00000	15.68755	10.68964	7.38340	11.96479	11.25630	11.79077	12.82386	0.00764	44.94444	40.83922	49.41008	49.46308	57.80130	19.81937	14.40023	31.15653	49.06214	49.95344	60.65314	38.94164
2018-05-05 11:33:00	863033069630348123	1.00000	11.35908	15.57651	10.46176	5.53618	12.71507	10.65259	5.01032	0.00012	51.54455	60.50047	33.94205	51.30461	13.43899	88.84045	97.03882	98.27806	35.65477	84.68622	72.98861	95.65788
2018-05-05 11:34:00	3590433799317661081	1.00000	10.63581	12.67817	12.56481	9.84128	13.98563	9.95675	9.13529	0.00021	36.03097	59.42151	33.33580	45.45078	82.49528	2.14608	40.61647	94.85847	70.23011	99.62695	39.56607	3.71613
2018-05-05 11:35:00	8630330696303481529	0.00000	14.38503	6.79200	9.19652	7.80055	14.79244	11.79945	15.00538	0.00084	64.84436	71.39330	37.25641	45.39379	66.58320	61.39617	42.46254	43.32360	53.51374	57.79676	70.08619	65.45544
2018-05-05 11:36:00	3590433799317661206	1.00000	9.17738	12.33910	17.43227	10.02340	11.76825	5.13664	8.33219	0.00385	53.88889	32.30333	65.51099	52.23088	32.84685	85.71274	73.39958	44.95609	42.78765	92.92662	39.79611	87.54227
2018-05-05 11:37:00	8630330696303482493	0.00000	12.41802	7.89424	10.57375	10.58509	11.37538	13.07100	16.55797	0.00970	81.89069	43.33231	36.36377	36.42789	86.61888	58.81377	11.51762	31.21654	70.18937	54.20823	3.39242	64.52590
2018-05-05 11:38:00	8630330696303481255	1.00000	10.04454	13.15432	9.88529	9.16890	16.30636	11.82605	10.30364	0.00025	61.03749	46.58638	30.33466	57.58006	51.37186	77.59523	43.50522	1.90787	97.77442	86.51920	1.90200	17.75754
2018-05-05 11:39:00	3590433799317661156	0.00000	10.74011	12.81077	8.24291	13.00441	11.20404	8.15667	7.13215	0.00009	51.76624	68.79361	38.78459	51.42054	61.16018	79.92661	91.06344	39.66319	39.21662	94.03335	88.89165	44.80869
2018-05-05 11:40:00	3590433799317661883	1.00000	8.50520	14.14789	15.02560	8.55923	10.51200	7.83575	8.07922	0.00023	37.19313	61.32929	22.20241	62.80511	2.09065	53.09511	96.50959	72.23725	60.84090	97.90011	44.65953	89.65581
2018-05-05 11:41:00	8630330696303481461	1.00000	15.01429	13.17926	4.72622	7.18089	12.34762	8.31353	12.38915	0.00208	35.78914	48.07628	51.72103	60.51565	71.62670	29.75680	9.41592	57.82448	84.25605	41.06198	27.13187	64.69636
2018-05-05 11:42:00	3590433799317662394	1.00000	14.21705	8.89217	7.56637	11.57304	15.76032	8.40849	12.46536	0.04245	49.92827	59.00272	55.80857	49.68201	61.90290	34.38343	6.43982	76.97229	89.95954	62.28522	36.13857	36.92359
2018-05-05 11:43:00	863033069630348891	1.00000	10.20796	10.08498	18.96848	14.29935	14.76836	5.47589	12.11461	0.00036	46.46474	28.16524	45.82335	51.64856	4.69545	63.58143	5.45252	33.73476	93.70266	53.49999	11.19957	93.90214
2018-05-05 11:44:00	8630330696303481271	0.00000	10.70522	8.66811	8.29677	9.53799	15.42069	12.50419	13.97988	0.04152	50.65750	45.25199	46.26994	60.53749	40.04245	72.59645	13.23221	83.95939	63.16686	65.22965	28.73770	56.01181
2018-05-05 11:45:00	3590433799317662048	1.00000	14.84055	16.73628	12.85124	6.58117	9.61645	10.11844	12.88973	0.02842	55.14443	61.94459	30.53362	41.04835	50.33048	60.33972	59.97863	74.24054	0.84593	18.19178	15.55451	33.18214
2018-05-05 11:46:00	8630330696303481008	1.00000	12.78917	9.41542	6.46746	9.85246	16.87570	7.54100	11.16290	0.00247	56.09279	55.03225	40.09254	38.12735	93.51588	19.83347	41.24938	83.53886	32.32402	6.57722	52.65569	7.80521
2018-05-05 11:47:00	8630330696303481750	1.00000	13.86030	10.01615	10.82293	7.11582	14.06168	12.65105	11.70787	1.19631	60.84180	38.73160	45.74822	48.31968	11.66153	74.41049	73.81775	25.86337	6.56695	83.66649	82.83883	40.56668
